BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Deepak Chahar,4,0,29,0,7.25,9,1,2,0,0,1
Tushar Deshpande,3.2,0,51,1,15.30,5,4,4,1,1,1
Rajvardhan Hangargekar,4,0,36,3,9.00,10,4,1,3,1,1
Mitchell Santner,4,0,32,0,8.00,7,5,0,0,0,1
Ravindra Jadeja,4,0,28,1,7.00,9,1,1,0,0,1
Sam Curran,3,0,38,1,12.66,4,3,3,0,0,2
Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0,2
Nathan Ellis,3,0,27,1,9.00,8,2,1,0,2,2
Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0,2
Rishi Dhawan,1,0,15,0,15.00,2,2,1,0,0,2
Rahul Chahar,2,0,12,1,6.00,5,0,1,0,0,2
Harpreet Brar,1,0,7,0,7.00,3,1,0,0,0,2
Kyle Mayers,1,0,7,0,7.00,3,1,0,1,0,3
Jaydev Unadkat,3,0,39,0,13.00,3,5,0,2,0,3
Krishnappa Gowtham,4,0,23,0,5.75,9,2,0,1,0,3
Avesh Khan,4,0,29,2,7.25,12,3,1,0,0,3
Mark Wood,4,0,14,5,3.50,17,1,0,1,1,3
Ravi Bishnoi,4,0,31,2,7.75,8,3,1,0,0,3
Trent Boult,4,1,21,2,5.25,15,2,1,0,0,4
KM Asif,3,0,15,0,5.00,9,1,0,1,0,4
Jason Holder,3,0,16,1,5.33,10,1,1,0,0,4
Ravichandran Ashwin,4,0,27,1,6.75,10,1,1,2,0,4
Yuzvendra Chahal,4,0,17,4,4.25,11,0,0,0,0,4
Navdeep Saini,2,0,34,0,17.00,3,3,2,0,3,4
Jason Behrendorff,3,0,37,0,12.33,6,3,3,0,0,5
Arshad Khan,2.2,0,28,1,12.00,7,2,2,4,0,5
Jofra Archer,4,0,33,0,8.25,10,2,2,0,0,5
Piyush Chawla,4,0,26,0,6.50,11,2,1,0,0,5
Cameron Green,2,0,30,1,15.00,4,2,3,0,0,5
Hrithik Shokeen,1,0,17,0,17.00,0,0,2,0,0,5
Deepak Chahar,4,0,55,0,13.75,6,7,1,5,0,6
Ben Stokes,1,0,18,0,18.00,0,2,1,0,0,6
